Country,Alcohol Consumption Per Capita,Prevalence of Alcohol Dependence,Legal Drinking Age,Alcohol Illegality
Zimbabwe,62.8 L,2.20%,18 Years Old,No
Tunisia,36.6 L,0.20%,18 Years Old,No
Eswatini,34.4 L,2.50%,18 Years Old,No
Maldives,33.7 L,0.90%,,Yes
Afghanistan,33.5 L,0.20%,,Yes
Namibia,32.4 L,2.20%,18 Years Old,No
South Africa,29.9 L,2.40%,18 Years Old,No
Algeria,29.1 L,0.70%,18 Years Old,No
Turkey,28.5 L,1.60%,18 Years Old,No
Iran,28.4 L,0.60%,,Yes
Lesotho,28.2 L,1.80%,21 Years Old,No
Georgia,27.9 L,2.10%,16 Years Old,No
Nauru,27.3 L,3%,21 Years Old,No
Libya,26.4 L,0.20%,,Yes
Botswana,26.2 L,2.50%,18 Years Old,No
Pakistan,26 L,0.20%,,Yes
Uganda,26 L,2.50%,18 Years Old,No
Laos,25.9 L,2.80%,,
Tanzania,25.8 L,2.40%,18 Years Old,No
Rwanda,25.6 L,2.50%,18 Years Old,No
Nigeria,25.5 L,0.10%,18 Years Old,No
Lebanon,25 L,3.70%,18 Years Old,No
Jordan,24.6 L,0.20%,18 Years Old,No
Morocco,24.5 L,0.20%,18 Years Old,No
Kyrgyzstan,24 L,3.30%,18 Years Old,No
Burundi,23.7 L,2.40%,16 Years Old,No
Moldova,22.8 L,3.30%,18 Years Old,No
Vietnam,22.8 L,2.90%,18 Years Old,No
Cameroon,22.6 L,2.50%,21 Years Old,No
Comoros,22.3 L,0.70%,18 Years Old,No
Burkina Faso,22.2 L,0.70%,,No
Bahrain,22.1 L,0.30%,21 Years Old,No
Sudan,22 L,0.20%,,Yes
Mongolia,21.9 L,2.80%,18 Years Old,No
Seychelles,21.8 L,2.50%,18 Years Old,No
Cambodia,21.7 L,2.70%,21 Years Old,No
Ivory Coast,21.7 L,,18 Years Old,No
Armenia,21.3 L,3.20%,18 Years Old,No
United Arab Emirates,20.5 L,0.30%,21 Years Old,No
Thailand,20.3 L,1.80%,20 Years Old,No
Paraguay,20.1 L,2.90%,20 Years Old,No
Russia,20.1 L,9.30%,18 Years Old,No
São Tomé and Príncipe,20.1 L,2.20%,18 Years Old,No
Philippines,19.9 L,2.90%,18 Years Old,No
Saint Lucia,19.8 L,2.80%,16 Years Old,No
Brazil,19.3 L,1.40%,18 Years Old,No
Bulgaria,19.2 L,2.30%,18 Years Old,No
Kazakhstan,19.2 L,3.30%,21 Years Old,No
Czech Republic,19.1 L,2.80%,18 Years Old,No
Barbados,19 L,2.70%,16 Years Old,No
Lithuania,18.9 L,4.90%,18 Years Old,No
Romania,18.8 L,1.30%,18 Years Old,No
Grenada,18.7 L,2.80%,18 Years Old,No
Liberia,18.7 L,1.80%,18 Years Old,No
Serbia,18.5 L,3.40%,18 Years Old,No
Sierra Leone,18.3 L,0.70%,18 Years Old,No
Dominica,18 L,2.80%,16 Years Old,No
Portugal,17.8 L,3%,18 Years Old,No
Turkmenistan,17.8 L,3.30%,18 Years Old,No
Saint Vincent and the Grenadines,17.7 L,2.80%,18 Years Old,No
Slovenia,17.7 L,6.20%,18 Years Old,No
Zambia,17.7 L,1.90%,18 Years Old,No
Myanmar,17.6 L,0.70%,18 Years Old,No
Gabon,17.2 L,2.40%,18 Years Old,No
Latvia,17.2 L,10.40%,18 Years Old,No
Hungary,17.1 L,9.40%,18 Years Old,No
Poland,17.1 L,2.20%,18 Years Old,No
Saint Kitts and Nevis,17.1 L,2.80%,18 Years Old,No
Fiji,16.9 L,3%,18 Years Old,No
Germany,16.9 L,3.50%,16 Years Old,No
France,16.7 L,3.30%,18 Years Old,No
Slovakia,16.6 L,5.50%,18 Years Old,No
Guinea-Bissau,16.5 L,0.70%,,No
Haiti,16.5 L,2.80%,16 Years Old,No
Panama,16.5 L,2.80%,18 Years Old,No
Belize,16.3 L,3.10%,18 Years Old,No
Federated States of Micronesia,16.1 L,2.80%,21 Years Old,No
Guyana,16.1 L,2.90%,18 Years Old,No
Dominican Republic,16 L,2.80%,18 Years Old,No
Ireland,16 L,3.80%,18 Years Old,No
South Korea,16 L,5.50%,19 Years Old,No
Belgium,15.9 L,4.30%,16 Years Old,No
Estonia,15.9 L,5.50%,18 Years Old,No
Greece,15.9 L,2.70%,18 Years Old,No
Nicaragua,15.9 L,2.80%,18 Years Old,No
Tajikistan,15.8 L,0.40%,18 Years Old,No
Uruguay,15.7 L,2.70%,18 Years Old,No
Cyprus,15.6 L,3.10%,18 Years Old,No
Equatorial Guinea,15.5 L,2.40%,18 Years Old,No
Malawi,15.5 L,1.20%,18 Years Old,No
Syria,15.5 L,0.20%,18 Years Old,No
Mexico,15.3 L,1.30%,18 Years Old,No
Belarus,15.2 L,11%,18 Years Old,No
Colombia,15.2 L,3.20%,18 Years Old,No
Andorra,15.1 L,3.40%,,
Republic of Macedonia,15.1 L,3.40%,18 Years Old,No
Republic of the Congo,15.1 L,0.70%,18 Years Old,No
Croatia,15 L,3.40%,18 Years Old,No
Austria,14.9 L,5.80%,16 Years Old,No
Sri Lanka,14.9 L,2.60%,21 Years Old,No
Venezuela,14.9 L,2.80%,18 Years Old,No
Finland,14.8 L,4.50%,18 Years Old,No
Montenegro,14.8 L,3.40%,18 Years Old,No
Albania,14.6 L,3.40%,18 Years Old,No
Argentina,14.6 L,2.90%,18 Years Old,No
India,14.6 L,3.80%,21 Years Old,No
Spain,14.6 L,0.70%,18 Years Old,No
Egypt,14.3 L,0.60%,21 Years Old,No
New Zealand,14.3 L,1.30%,18 Years Old,No
Antigua and Barbuda,14.2 L,2.70%,,
Switzerland,14.2 L,4.30%,16 Years Old,No
Trinidad and Tobago,14.2 L,2.80%,18 Years Old,No
Japan,14.1 L,1.10%,20 Years Old,No
Kenya,14.1 L,1.40%,18 Years Old,No
Luxembourg,14.1 L,2.90%,16 Years Old,No
The Gambia,14.1 L,0.70%,18 Years Old,No
Denmark,13.9 L,3.90%,16 Years Old,No
Canada,13.8 L,4.10%,19 Years Old,No
Ukraine,13.8 L,2.20%,18 Years Old,No
Chile,13.7 L,2.50%,18 Years Old,No
United States of America,13.7 L,7.70%,21 Years Old,No
Honduras,13.5 L,2.90%,18 Years Old,No
Angola,13.4 L,2.10%,18 Years Old,No
Australia,13.4 L,1.50%,18 Years Old,No
Bosnia and Herzegovina,13.4 L,3.40%,18 Years Old,No
Cuba,13.2 L,2.70%,16 Years Old,No
Costa Rica,13 L,3%,18 Years Old,No
People's Republic of China,12.9 L,2.30%,18 Years Old,No
El Salvador,12.8 L,2.70%,18 Years Old,No
Iceland,12.8 L,1.90%,20 Years Old,No
Malta,12.8 L,1.60%,17 Years Old,No
Uzbekistan,12.8 L,3.30%,20 Years Old,No
Ethiopia,12.6 L,0.80%,18 Years Old,No
Sweden,12.5 L,,18 Years Old,No
Iraq,12.4 L,0.20%,21 Years Old,No
Suriname,12.1 L,2.80%,16 Years Old,No
Italy,12 L,0.60%,18 Years Old,No
Netherlands,12 L,0.60%,18 Years Old,No
Togo,12 L,3.30%,,No
Jamaica,11.9 L,1.50%,18 Years Old,No
Peru,11.8 L,4.90%,18 Years Old,No
Benin,11.6 L,2.20%,20 Years Old,No
Mauritius,11.5 L,1.90%,18 Years Old,No
Mozambique,11.4 L,1.10%,18 Years Old,No
Bolivia,10.5 L,2.90%,18 Years Old,No
Solomon Islands,10.4 L,2.90%,21 Years Old,No
Ghana,10.2 L,1.40%,18 Years Old,No
The Bahamas,10.1 L,2.80%,18 Years Old,No
North Korea,9.6 L,1.40%,18 Years Old,No
East Timor,9.5 L,0.70%,,No
Ecuador,9.5 L,2.80%,18 Years Old,No
Norway,9.4 L,4%,18 Years Old,No
Yemen,9.4 L,,,Yes
Madagascar,9.2 L,0.90%,18 Years Old,No
Oman,9.1 L,0.30%,21 Years Old,No
Guatemala,9 L,2.80%,18 Years Old,No
Central African Republic,8.8 L,1.30%,15 Years Old,No
Papua New Guinea,8.6 L,2.90%,18 Years Old,No
Nepal,7.4 L,0.70%,18 Years Old,No
Vanuatu,7.4 L,2.90%,,No
Democratic Republic of the Congo,7.1 L,1.70%,18 Years Old,No
Israel,7 L,3.30%,18 Years Old,No
Chad,6.9 L,0.70%,16 Years Old,No
Eritrea,6.3 L,0.80%,25 Years Old,No
Guinea,5.8 L,0.70%,18 Years Old,No
Mali,5.7 L,0.70%,15 Years Old,No
Qatar,4.4 L,0.10%,19 Years Old,No
Mauritania,3.8 L,0.20%,21 Years Old,No
Saudi Arabia,3.8 L,0.20%,,Yes
Azerbaijan,3.7 L,3.40%,18 Years Old,No
Senegal,3.5 L,0.70%,18 Years Old,No
Indonesia,3.4 L,0.70%,21 Years Old,No
Malaysia,3.1 L,1.10%,18 Years Old,No
Singapore,2.9 L,0.50%,18 Years Old,No
Djibouti,2.7 L,0.20%,,No
Niger,2.5 L,0.70%,18 Years Old,No
Bhutan,1.9 L,0.80%,18 Years Old,No
Somalia,1.5 L,0.20%,,Yes
Brunei,1.3 L,0.80%,,Yes
Kuwait,1 L,0.20%,,Yes